slice,feature,importance,f1
12,macd_diff,0.00409999999999997,0.16558861578266496
12,atr,-4.4408920985006264e-17,0.16558861578266496
12,ret_tp_long,-0.0013000000000000568,0.16558861578266496
12,ret_sl_long,-0.0019000000000000128,0.16558861578266496
12,ret_tp_short,-0.0016000000000000237,0.16558861578266496
12,ret_sl_short,-0.0017000000000000348,0.16558861578266496
13,open,-0.0013999999999999568,0.0
13,high,-0.0012999999999999678,0.0
13,low,-0.0009999999999999788,0.0
13,close,-0.0012999999999999678,0.0
13,volume,-0.00019999999999995577,0.0
13,ema_10,-0.0011999999999999567,0.0
13,ema_30,-0.0013999999999999568,0.0
13,rsi_14,-0.00019999999999997797,0.0
13,macd,-0.0011999999999999789,0.0
13,macd_signal,-0.0010999999999999678,0.0
13,macd_diff,-0.00019999999999995577,0.0
13,atr,0.0003000000000000336,0.0
13,ret_tp_long,0.0003000000000000336,0.0
13,ret_sl_long,2.2204460492503132e-17,0.0
13,ret_tp_short,-0.00029999999999996696,0.0
13,ret_sl_short,-0.00019999999999995577,0.0
14,open,-0.0015000000000000013,0.39981617647058826
14,high,0.001399999999999979,0.39981617647058826
14,low,-0.00030000000000000024,0.39981617647058826
14,close,-0.002100000000000002,0.39981617647058826
14,volume,0.004199999999999959,0.39981617647058826
14,ema_10,-0.018700000000000015,0.39981617647058826
14,ema_30,-0.0028000000000000026,0.39981617647058826
14,rsi_14,0.008699999999999953,0.39981617647058826
14,macd,0.007199999999999951,0.39981617647058826
14,macd_signal,0.004299999999999959,0.39981617647058826
14,macd_diff,0.007599999999999951,0.39981617647058826
14,atr,0.013999999999999957,0.39981617647058826
14,ret_tp_long,0.00599999999999995,0.39981617647058826
14,ret_sl_long,0.004699999999999959,0.39981617647058826
14,ret_tp_short,0.005299999999999949,0.39981617647058826
14,ret_sl_short,0.0043999999999999595,0.39981617647058826
